Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/NEOGEO/Neo Geo CD Manuals/2020 Super Baseball.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2F2020%20Super%20Baseball.pdf,3883447,602b84e97a2bc86c39161cf1ca0eaffc,,,2020 Super Baseball.pdf
docs/NEOGEO/Neo Geo CD Manuals/Aero Fighters 2.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FAero%20Fighters%202.pdf,4496168,40a0e5353869543d0936c18c1afe1cd3,,,Aero Fighters 2.pdf
docs/NEOGEO/Neo Geo CD Manuals/Aggressors of Dark Kombat.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FAggressors%20of%20Dark%20Kombat.pdf,4635987,5ccb2c38f181b2690dc817bbe01c4118,,,Aggressors of Dark Kombat.pdf
docs/NEOGEO/Neo Geo CD Manuals/Alpha Mission II.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FAlpha%20Mission%20II.pdf,3428280,b1df3d831fff15e60a26c34c21536f58,,,Alpha Mission II.pdf
docs/NEOGEO/Neo Geo CD Manuals/Art of Fighting .pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FArt%20of%20Fighting%20.pdf,5026111,34f022700a929f9dc5f54542590b824d,,,Art of Fighting .pdf
docs/NEOGEO/Neo Geo CD Manuals/Art of Fighting 2.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FArt%20of%20Fighting%202.pdf,6326156,71e2a40cdc718bf3a01c116d719a436a,,,Art of Fighting 2.pdf
docs/NEOGEO/Neo Geo CD Manuals/Art of Fighting 3 - The Path of the Warrior.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FArt%20of%20Fighting%203%20-%20The%20Path%20of%20the%20Warrior.pdf,7195535,b60da544510ec19642c74d9a20a2d416,,,Art of Fighting 3 - The Path of the Warrior.pdf
docs/NEOGEO/Neo Geo CD Manuals/Baseball Stars 2.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FBaseball%20Stars%202.pdf,4485968,a895b5ba38ce08f885cd0bb7dae5f4c9,,,Baseball Stars 2.pdf
docs/NEOGEO/Neo Geo CD Manuals/Fatal Fury - King of Fighters.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FFatal%20Fury%20-%20King%20of%20Fighters.pdf,3921130,0668d839b790a3636a013f04b3280af8,,,Fatal Fury - King of Fighters.pdf
docs/NEOGEO/Neo Geo CD Manuals/Fatal Fury 2.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FFatal%20Fury%202.pdf,3777115,7d541cc3ec552e21e6cc8442e94439c1,,,Fatal Fury 2.pdf
docs/NEOGEO/Neo Geo CD Manuals/Fatal Fury 3 - Road to the Final Victory.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FFatal%20Fury%203%20-%20Road%20to%20the%20Final%20Victory.pdf,4011506,b8b78a6c6e12cb101848737f9003c45b,,,Fatal Fury 3 - Road to the Final Victory.pdf
docs/NEOGEO/Neo Geo CD Manuals/Fatal Fury Special.pdf,https://archive.org/download/mister-manuals/1994_SNK%20Neo%20Geo%20CD.zip/1994_SNK%20Neo%20Geo%20CD%2FFatal%20Fury%20Special.pdf,6938387,d836a9f4c1c7baeb3d271e478c3c799f,,,Fatal Fury Special.pdf
